K,Time (s),Memory (MB),Passes
1,3.28,106.98,4
2,1.94,102.27,3
3,3.14,98.47,3
4,5.42,109.03,2
5,0.18,36.87,1
6,0.18,36.87,1
7,0.18,36.87,1
8,0.18,36.87,1
9,0.18,36.87,1
10,0.18,36.87,1
