K,Time (s),Memory (MB),Passes
1,62.44,61.26,303
2,21.06,71.74,66
3,11.36,85.18,19
4,5.29,101.72,5
5,7.78,115.55,4
6,0.54,119.48,2
7,0.59,119.43,2
8,0.53,119.67,2
9,0.44,119.84,2
10,0.55,119.57,2
