K,Average User Time (s),Average Memory (KB),Passes
1,1.708,12232.0,35
2,0.994,14061.6,19
3,0.662,15636.8,12
4,0.532,17461.6,9
5,0.272,19339.2,4
6,0.406,21224.0,6
7,0.198,23567.2,3
8,0.21,25331.2,3
9,0.182,26730.4,2
10,0.208,28568.0,2
