N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4196.0,3.15,9.36
20,0.0001,3200.0,4.05,15.85
30,0.0002,3172.0,4.6,20.93
40,0.0003,3136.0,5.1,26.24
50,0.0005,3176.0,5.33,30.8
60,0.0007000000000000001,3176.0,5.77,35.68
70,0.001,3208.0,6.14,40.03
80,0.0012,3184.0,6.39,44.12
90,0.0015,3236.0,6.51,48.66
100,0.0018,3140.0,6.76,51.71
200,0.0062,4172.0,8.39,86.1
300,0.0129,3228.0,9.43,114.15
400,0.0212,3232.0,10.12,131.62
500,0.031200000000000002,4168.0,10.71,140.29
600,0.0425,3192.0,11.37,155.3
700,0.056900000000000006,3132.0,11.91,155.63
800,0.0723,3192.0,12.5,164.27
900,0.092,3172.0,13.1,160.1
1000,0.10869999999999999,3224.0,13.52,175.38
1200,0.16469999999999999,3224.0,14.72,171.32
1400,0.21530000000000002,3156.0,15.74,195.41
1600,0.28350000000000003,4204.0,16.8,181.0
1800,0.3578,4196.0,17.87,196.06
2000,0.45270000000000005,4252.0,18.55,212.69
2500,0.6920999999999999,4212.0,20.99,232.26
3000,0.9884000000000001,4236.0,22.98,235.35
3500,1.3275,5240.0,24.86,252.91
4000,1.7187999999999999,5240.0,26.52,257.7
4500,2.1785,5232.0,27.99,274.43
5000,2.7162,5220.0,29.6,319.56
6000,3.8263,6252.0,32.52,318.28
7000,5.2123,6212.0,34.74,343.34
