N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3176.0,2.0,9.39
20,0.0,3192.0,2.65,15.6
30,0.0001,3220.0,2.99,20.79
40,0.0002,3176.0,3.1,26.16
50,0.0003,3180.0,3.38,30.57
60,0.0005,3208.0,3.8,35.49
70,0.0006,3172.0,3.94,39.57
80,0.0008,3172.0,4.0,43.95
90,0.001,3152.0,4.13,48.56
100,0.0012,3180.0,4.3,51.82
200,0.0042,3224.0,5.43,86.17
300,0.0087,4172.0,6.15,114.67
400,0.0144,3200.0,6.55,132.08
500,0.0212,3188.0,7.13,141.01
600,0.0292,3220.0,7.52,153.0
700,0.0405,3172.0,8.12,153.64
800,0.0512,3168.0,8.46,162.22
900,0.0626,3232.0,8.76,157.01
1000,0.076,3156.0,9.16,173.09
1200,0.11320000000000001,3136.0,9.93,167.12
1400,0.1503,4200.0,10.64,189.75
1600,0.19699999999999998,5200.0,11.23,173.89
1800,0.2421,4212.0,11.99,188.54
2000,0.3097,4160.0,12.78,205.76
2500,0.4707,4196.0,14.14,221.59
3000,0.6898000000000001,4168.0,15.78,224.77
3500,0.92,5184.0,16.98,239.39
4000,1.2254,5200.0,18.22,242.55
4500,1.5504,5244.0,19.18,257.43
5000,1.8838,5228.0,20.27,301.6
6000,2.6942000000000004,6248.0,22.18,294.66
7000,3.6869,6244.0,24.14,321.75
