M,Time (s),Memory (KB),Passes
100,0.0,42040.0,1.0
200,0.0,43060.0,1.0
300,0.0,46132.0,1.0
400,0.0,47164.0,1.0
500,0.0,48176.0,1.0
600,0.0,49244.0,1.0
700,0.0,50224.0,1.0
800,0.0,50232.0,1.0
900,0.0,50240.0,1.0
1000,0.0,52280.0,1.0
2000,0.0,56384.0,1.0
3000,0.0,3152.0,2.0
4000,0.0,4148.0,2.0
5000,0.0,3120.0,2.0
6000,0.01,3136.0,2.01
7000,0.01,4192.0,2.02
8000,0.01,4152.0,2.03
9000,0.01,4172.0,2.04
10000,0.01,3156.0,2.04
11000,0.01,4136.0,2.04
12000,0.01,3140.0,2.04
13000,0.01,3136.0,2.04
14000,0.01,3140.0,2.05
15000,0.01,3148.0,2.06
16000,0.01,4172.0,2.05
17000,0.01,4188.0,2.06
18000,0.02,3160.0,2.07
19000,0.02,4192.0,2.08
20000,0.02,3140.0,2.09
30000,0.03,3148.0,2.18
40000,0.04,4168.0,2.31
50000,0.04,4144.0,2.2
60000,0.05,3108.0,2.09
70000,0.06,4152.0,2.07
80000,0.07,3108.0,2.05
90000,0.07,4148.0,2.04
100000,0.08,3220.0,2.04
200000,0.17,3156.0,2.01
300000,0.24,4156.0,2.0
400000,0.32,3108.0,2.0
