M,Time (s),Memory (KB),Passes
100,0.0,4188.0,2.01
200,0.0,4192.0,2.96
300,0.0,4184.0,3.07
400,0.0,4152.0,3.13
500,0.0,4152.0,3.16
600,0.0,3188.0,3.19
700,0.0,3156.0,3.19
800,0.0,4152.0,3.19
900,0.0,4176.0,3.19
1000,0.0,3140.0,3.19
2000,0.0,3192.0,3.27
3000,0.0,4156.0,3.25
4000,0.01,3144.0,3.24
5000,0.01,4152.0,3.25
6000,0.01,4156.0,3.24
7000,0.01,3108.0,3.25
8000,0.01,4144.0,3.25
9000,0.01,4144.0,3.24
10000,0.01,4136.0,3.25
11000,0.01,3108.0,3.23
12000,0.01,3120.0,3.23
13000,0.01,3156.0,3.23
14000,0.02,3172.0,3.23
15000,0.02,3136.0,3.24
16000,0.02,4156.0,3.23
17000,0.02,3160.0,3.25
18000,0.02,3184.0,3.27
19000,0.02,4188.0,3.27
20000,0.02,3108.0,3.27
30000,0.03,4132.0,3.35
40000,0.05,3132.0,3.62
50000,0.06,3108.0,3.78
60000,0.08,3136.0,3.76
70000,0.09,3108.0,3.72
80000,0.1,3108.0,3.65
90000,0.11,3136.0,3.59
100000,0.12,3148.0,3.5
200000,0.22,3144.0,3.14
300000,0.33,3108.0,3.05
400000,0.43,3144.0,3.01
