M,Time (s),Memory (KB),Passes
100,0.0,4136.0,2.11
200,0.0,4160.0,3.04
300,0.0,4192.0,3.12
400,0.0,4172.0,3.17
500,0.0,4168.0,3.19
600,0.0,3192.0,3.22
700,0.0,3136.0,3.22
800,0.0,4188.0,3.21
900,0.0,4180.0,3.21
1000,0.0,4156.0,3.21
2000,0.0,3136.0,3.27
3000,0.0,3112.0,3.25
4000,0.01,3148.0,3.25
5000,0.01,4172.0,3.25
6000,0.01,4156.0,3.24
7000,0.01,4180.0,3.25
8000,0.01,4144.0,3.25
9000,0.01,3108.0,3.25
10000,0.01,3136.0,3.25
11000,0.01,3144.0,3.24
12000,0.01,4156.0,3.24
13000,0.01,3112.0,3.24
14000,0.02,4132.0,3.24
15000,0.02,4176.0,3.25
16000,0.02,4188.0,3.24
17000,0.02,3180.0,3.26
18000,0.02,3132.0,3.27
19000,0.02,4152.0,3.27
20000,0.02,3108.0,3.27
30000,0.03,4164.0,3.35
40000,0.05,3136.0,3.62
50000,0.06,3144.0,3.78
60000,0.07,3104.0,3.76
70000,0.09,3132.0,3.72
80000,0.1,3108.0,3.64
90000,0.11,3188.0,3.58
100000,0.12,3152.0,3.5
200000,0.22,3180.0,3.15
300000,0.33,3104.0,3.05
400000,0.43,3148.0,3.01
