M,Time (s),Memory (KB),Passes
100,0.0,4176.0,2.14
200,0.0,4192.0,3.07
300,0.0,4188.0,3.14
400,0.0,4156.0,3.18
500,0.0,3144.0,3.2
600,0.0,4172.0,3.22
700,0.0,4172.0,3.22
800,0.0,3124.0,3.22
900,0.0,3144.0,3.21
1000,0.0,4152.0,3.21
2000,0.0,4164.0,3.28
3000,0.0,4180.0,3.25
4000,0.0,4136.0,3.25
5000,0.01,4188.0,3.25
6000,0.01,4132.0,3.25
7000,0.01,3128.0,3.26
8000,0.01,4152.0,3.26
9000,0.01,4148.0,3.25
10000,0.01,3152.0,3.25
11000,0.01,4168.0,3.24
12000,0.01,4176.0,3.24
13000,0.01,3132.0,3.24
14000,0.02,3164.0,3.24
15000,0.02,3140.0,3.25
16000,0.02,3176.0,3.24
17000,0.02,3116.0,3.25
18000,0.02,3108.0,3.27
19000,0.02,3140.0,3.27
20000,0.02,3160.0,3.27
30000,0.03,4136.0,3.35
40000,0.05,3116.0,3.63
50000,0.06,3108.0,3.78
60000,0.07,3104.0,3.76
70000,0.09,3108.0,3.72
80000,0.1,4172.0,3.64
90000,0.11,3108.0,3.57
100000,0.12,3112.0,3.5
200000,0.22,3132.0,3.14
300000,0.32,3108.0,3.05
400000,0.43,3136.0,3.01
