M,Time (s),Memory (KB),Passes
100,0.0,41056.0,1.0
200,0.0,44128.0,1.0
300,0.0,46132.0,1.0
400,0.0,46200.0,1.0
500,0.0,47208.0,1.0
600,0.0,49216.0,1.0
700,0.0,49220.0,1.0
800,0.0,50240.0,1.0
900,0.0,51256.0,1.0
1000,0.0,51300.0,1.0
2000,0.0,56404.0,1.0
3000,0.0,58432.0,1.0
4000,0.0,61528.0,1.0
5000,0.0,62520.0,1.0
6000,0.0,63584.0,1.0
7000,0.0,63580.0,1.0
8000,0.0,64608.0,1.0
9000,0.0,66612.0,1.0
10000,0.0,66652.0,1.0
11000,0.01,4132.0,1.94
12000,0.01,4164.0,2.0
13000,0.01,4156.0,2.0
14000,0.01,4148.0,2.0
15000,0.02,5176.0,2.0
16000,0.02,5176.0,2.0
17000,0.02,5172.0,2.0
18000,0.02,4212.0,2.0
19000,0.02,5176.0,2.0
20000,0.02,4136.0,2.0
30000,0.03,4188.0,2.03
40000,0.04,4188.0,2.2
50000,0.05,4136.0,2.18
60000,0.06,5172.0,2.09
70000,0.06,5212.0,2.06
80000,0.07,5204.0,2.06
90000,0.08,4132.0,2.04
100000,0.09,4132.0,2.04
200000,0.16,4132.0,2.01
300000,0.25,4168.0,2.0
400000,0.33,4132.0,2.0
