N,Time (s),Memory (KB),Passes
10,0.0,3072.0,2.0
20,0.0,3072.0,2.0
30,0.0,3072.0,2.0
40,0.0,3072.0,2.0
50,0.0,3072.0,2.1
60,0.0,3072.0,2.5
70,0.0,3072.0,2.8
80,0.0,3072.0,3.0
90,0.0,3072.0,3.0
100,0.0,3072.0,3.0
150,0.0,3072.0,3.0
200,0.0,3072.0,3.2
250,0.01,3072.0,3.2
300,0.01,3072.0,3.5
350,0.01,3072.0,3.4
400,0.01,3072.0,3.7
450,0.02,3072.0,3.4
500,0.02,3072.0,3.8
550,0.02,3072.0,4.1
600,0.02,3072.0,4.1
650,0.03,4096.0,4.3
700,0.03,4096.0,4.5
750,0.04,4096.0,4.3
800,0.04,4096.0,4.3
850,0.04,4096.0,4.1
900,0.04,4096.0,4.4
950,0.04,4096.0,4.4
1000,0.05,4096.0,4.4
