K,Average User Time (s),Average Memory (KB),Passes
1,1998.8,81488.0,1418
2,41.09,94632.0,20
3,33.34,102156.0,13
4,21.18,121888.0,9
5,21.98,141384.0,8
6,15.02,154904.0,6
7,18.65,169388.0,6
8,14.04,187992.0,5
9,16.75,199768.0,5
10,11.02,219472.0,4
