K,Time (s),Memory (KB),Passes
1,0.04,3072.0,3.49
2,0.04,3072.0,3.49
3,0.04,3072.0,3.49
4,0.04,3072.0,3.47
5,0.04,3072.0,3.47
6,0.04,3072.0,3.48
7,0.04,3072.0,3.47
8,0.04,3072.0,3.46
9,0.05,3072.0,3.46
10,0.04,3072.0,3.46
11,0.04,3072.0,3.45
12,0.04,3072.0,3.46
13,0.04,3072.0,3.47
14,0.05,3072.0,3.47
15,0.05,3072.0,3.48
16,0.04,3072.0,3.49
17,0.05,3072.0,3.49
18,0.05,3072.0,3.49
19,0.05,3072.0,3.5
20,0.05,3072.0,3.49
21,0.04,3072.0,3.47
22,0.05,3072.0,3.45
23,0.04,3072.0,3.45
24,0.05,3072.0,3.45
25,0.05,3072.0,3.45
26,0.05,3072.0,3.45
27,0.05,3072.0,3.46
28,0.05,3072.0,3.46
29,0.04,3072.0,3.45
30,0.04,3072.0,3.47
31,0.05,3072.0,3.5
32,0.05,3072.0,3.5
33,0.04,3072.0,3.5
34,0.04,3072.0,3.5
35,0.04,3072.0,3.5
36,0.04,3072.0,3.51
37,0.04,3072.0,3.5
38,0.05,3072.0,3.5
39,0.05,3072.0,3.5
40,0.05,3072.0,3.5
45,0.05,3072.0,3.53
50,0.05,3072.0,3.54
55,0.05,3072.0,3.55
60,0.05,3072.0,3.57
65,0.05,3072.0,3.55
70,0.05,3072.0,3.55
75,0.05,3072.0,3.53
80,0.05,3072.0,3.5
85,0.05,3072.0,3.5
90,0.05,3072.0,3.5
95,0.05,3072.0,3.52
100,0.05,3072.0,3.52
150,0.04,3072.0,3.49
200,0.05,4096.0,3.45
250,0.05,4096.0,3.48
300,0.05,4096.0,3.43
350,0.05,4096.0,3.48
400,0.05,4096.0,3.41
450,0.05,4096.0,3.5
500,0.04,4096.0,3.0
550,0.04,4096.0,3.0
600,0.04,4096.0,3.0
650,0.04,4096.0,3.0
700,0.04,4096.0,3.0
750,0.04,4096.0,3.0
800,0.04,4096.0,3.0
850,0.04,4096.0,3.0
900,0.04,4096.0,3.0
950,0.04,4096.0,3.0
1000,0.03,4096.0,2.0
