K,Time (s),Memory (KB),Passes
1,0.36,3072.0,37.9
2,0.11,3072.0,11.53
3,0.05,3072.0,5.0
4,0.04,4096.0,4.0
5,0.04,4096.0,4.0
6,0.03,4096.0,3.06
7,0.03,4096.0,3.0
8,0.03,4096.0,3.0
9,0.03,4096.0,3.0
10,0.03,4096.0,3.0
11,0.03,4096.0,3.0
12,0.03,4096.0,3.0
13,0.03,4096.0,3.0
14,0.03,4096.0,3.0
15,0.03,5120.0,3.0
16,0.03,5120.0,3.0
17,0.03,5120.0,3.0
18,0.03,5120.0,3.0
19,0.03,5120.0,3.0
20,0.03,5120.0,3.0
21,0.03,5120.0,3.0
22,0.03,5120.0,3.0
23,0.03,5120.0,3.0
24,0.03,5120.0,3.0
25,0.03,5120.0,3.0
26,0.03,6144.0,3.0
27,0.03,6144.0,3.0
28,0.03,6144.0,3.0
29,0.03,6144.0,3.0
30,0.03,6144.0,3.0
31,0.03,6144.0,3.0
32,0.04,6144.0,3.0
33,0.03,6716.0,2.0
34,0.03,6772.0,2.0
35,0.02,6396.0,2.0
36,0.02,6296.0,2.0
37,0.02,6772.0,2.0
38,0.03,6656.0,2.0
39,0.03,6144.0,2.0
40,0.03,6492.0,2.0
45,0.02,6144.0,2.0
50,0.02,6772.0,2.0
55,0.03,6772.0,2.0
60,0.03,6600.0,2.0
65,0.02,6144.0,2.0
70,0.02,6776.0,2.0
75,0.03,6400.0,2.0
80,0.02,6768.0,2.0
85,0.03,6772.0,2.0
90,0.02,6276.0,2.0
95,0.03,6488.0,2.0
100,0.02,6772.0,2.0
150,0.03,6772.0,2.0
200,0.02,6592.0,2.0
250,0.02,6772.0,2.0
300,0.03,6772.0,2.0
350,0.03,6756.0,2.0
400,0.02,6772.0,2.0
450,0.02,6772.0,2.0
500,0.02,6264.0,2.0
550,0.02,6772.0,2.0
600,0.03,6352.0,2.0
650,0.02,6768.0,2.0
700,0.03,6772.0,2.0
750,0.03,6776.0,2.0
800,0.02,6392.0,2.0
850,0.03,6768.0,2.0
900,0.02,6144.0,2.0
950,0.03,6772.0,2.0
1000,0.02,6772.0,2.0
