N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3176.8,2.0,9.6
20,0.0,3179.2,2.0,18.4
30,0.0,3186.8,2.0,27.4
40,0.0,3172.4,2.0,36.9
50,0.0,3200.4,2.0,46.1
60,0.0,3179.2,2.0,55.1
70,0.0,3184.0,2.0,63.7
80,0.0,3185.2,2.0,72.8
90,0.0,3171.6,2.0,83.5
100,0.0,3180.4,2.0,90.1
200,0.0,3176.8,2.0,184.1
300,0.0,3164.8,2.0,276.6
400,0.0,3168.0,2.0,368.4
500,0.0,3195.6,2.0,461.9
600,0.0,3203.2,3.0,556.4
700,0.0,4227.2,3.0,644.6
800,0.0,4197.2,3.0,737.6
900,0.002,4212.8,3.0,828.4
1000,0.009999999999999998,4220.0,3.0,923.4
1200,0.009999999999999998,4205.6,3.0,1106.9
1400,0.009999999999999998,4210.4,3.0,1297.4
1600,0.009999999999999998,5220.4,3.0,1477.9
1800,0.015,5212.8,3.0,1659.1
2000,0.019999999999999997,5218.0,3.0,1850.7
2500,0.023,6251.2,3.0,2313.1
3000,0.030000000000000006,7273.2,3.0,2770.4
3500,0.038,7288.8,3.0,3248.6
4000,0.040999999999999995,8305.2,3.0,3708.8
4500,0.051000000000000004,8303.6,3.0,4168.3
5000,0.05499999999999999,9318.8,3.0,4637.9
6000,0.07000000000000002,10356.4,3.0,5569.0
7000,0.08699999999999998,12412.4,3.0,6491.1
8000,0.09899999999999999,13430.8,3.0,7443.6
9000,0.11800000000000002,14435.6,3.0,8377.4
10000,0.13400000000000004,15474.0,3.0,9324.3
