Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,1,190,12784.0,1
14000,2,19,13504.0,2
15000,3,13,14240.0,3
16000,3,13,15488.0,3
17000,4,8,15984.0,4
18000,4,8,14848.0,4
19000,4,8,16032.0,4
20000,4,8,14848.0,4
21000,5,4,19088.0,5
22000,5,4,18208.0,5
23000,5,4,18144.0,6
24000,9,2,23952.0,9
25000,9,2,23952.0,9
30000,9,2,27488.0,11
35000,9,2,24128.0,11
40000,9,2,23952.0,11
45000,9,2,23952.0,11
50000,9,2,23952.0,11
60000,9,2,23952.0,11
70000,9,2,23952.0,11
80000,9,2,23952.0,11
90000,9,2,24528.0,11
100000,9,2,23952.0,11
200000,9,2,24528.0,11
300000,9,2,23952.0,11
400000,9,2,26560.0,11
500000,9,2,23952.0,11
600000,9,2,23952.0,11
700000,9,2,23952.0,11
800000,9,2,23952.0,11
900000,9,2,24960.0,11
1000000,9,2,25536.0,11
