Memory Limit (KB),Optimal K,Passes,Actual Memory (KB),Max Valid K (within limit)
1000,N/A,N/A,N/A,N/A
2000,N/A,N/A,N/A,N/A
5000,N/A,N/A,N/A,N/A
6000,N/A,N/A,N/A,N/A
7000,N/A,N/A,N/A,N/A
8000,N/A,N/A,N/A,N/A
9000,N/A,N/A,N/A,N/A
10000,N/A,N/A,N/A,N/A
11000,N/A,N/A,N/A,N/A
12000,N/A,N/A,N/A,N/A
13000,2,33,11888.0,2
14000,1,231,13424.0,1
15000,3,17,14816.0,3
16000,4,12,14128.0,4
17000,4,12,14128.0,4
18000,4,12,15312.0,4
19000,4,12,17600.0,4
20000,4,12,15520.0,4
21000,4,12,15376.0,4
22000,4,12,15376.0,4
23000,8,3,22896.0,8
24000,8,3,22592.0,9
25000,8,3,23728.0,9
30000,8,3,24048.0,11
35000,8,3,24048.0,11
40000,8,3,22992.0,11
45000,8,3,24048.0,11
50000,8,3,22928.0,11
60000,8,3,24192.0,11
70000,8,3,24048.0,11
80000,8,3,25104.0,11
90000,8,3,23024.0,11
100000,8,3,22928.0,11
200000,8,3,25136.0,11
300000,8,3,23568.0,11
400000,8,3,25168.0,11
500000,8,3,25104.0,11
600000,8,3,24048.0,11
700000,8,3,24192.0,11
800000,8,3,24192.0,11
900000,8,3,25168.0,11
1000000,8,3,24048.0,11
