N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4188.0,1.99,10.0
20,0.0001,3140.0,2.2,20.0
30,0.0003,3128.0,2.73,30.0
40,0.0006,4192.0,2.95,40.0
50,0.001,4140.0,2.98,50.0
60,0.0013,4180.0,3.0,60.0
70,0.0019,4192.0,3.02,70.0
80,0.0025,4144.0,3.01,80.0
90,0.0031,3140.0,3.03,90.0
100,0.004,4188.0,3.12,100.0
200,0.0177,4144.0,3.46,200.0
300,0.044199999999999996,3136.0,3.9,300.0
400,0.07980000000000001,3152.0,3.99,400.0
500,0.1264,4188.0,3.99,500.0
600,0.1802,4144.0,4.0,600.0
700,0.2468,4140.0,4.0,700.0
800,0.3201,4144.0,4.0,800.0
900,0.41090000000000004,3132.0,4.0,900.0
1000,0.5057,4160.0,4.0,1000.0
1200,0.7445999999999999,3136.0,4.0,1200.0
1400,1.0339,5196.0,4.0,1400.0
1600,1.3436000000000001,4188.0,4.0,1600.0
1800,1.7086000000000001,4152.0,4.0,1800.0
2000,2.0333,4168.0,4.0,2000.0
2500,3.1412999999999998,4132.0,4.0,2500.0
3000,4.6856,4132.0,4.0,3000.0
3500,6.2138,5156.0,4.01,3500.0
4000,8.3014,5176.0,4.03,4000.0
4500,10.346400000000001,5244.0,4.04,4500.0
5000,13.0647,5152.0,4.1,5000.0
6000,19.7447,6180.0,4.23,6000.0
7000,27.375700000000002,6248.0,4.42,7000.0
8000,38.1507,7204.0,4.62,8000.0
9000,46.7333,8236.0,4.66,9000.0
10000,63.4612,9096.0,4.81,10000.0
