N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4192.0,3.19,10.0
20,0.0002,4168.0,4.08,20.0
30,0.0005,4184.0,4.8,30.0
40,0.001,4152.0,5.27,40.0
50,0.0018,3192.0,5.81,50.0
60,0.0027,4144.0,6.15,60.0
70,0.0038,4180.0,6.55,70.0
80,0.0055000000000000005,4176.0,6.79,80.0
90,0.0070999999999999995,3140.0,7.05,90.0
100,0.0088,4148.0,7.36,100.0
200,0.047400000000000005,4144.0,9.12,200.0
300,0.1148,3120.0,10.34,300.0
400,0.2194,3132.0,11.1,400.0
500,0.35810000000000003,3104.0,11.84,500.0
600,0.5428000000000001,3108.0,12.4,600.0
700,0.7624,3108.0,12.81,700.0
800,1.0278,3108.0,13.14,800.0
900,1.3055,3108.0,13.35,900.0
1000,1.6959,3108.0,13.74,1000.0
1200,2.6519,3136.0,14.33,1200.0
1400,3.761,4132.0,14.79,1400.0
1600,5.0749,4200.0,15.3,1600.0
1800,6.3405,3108.0,15.66,1800.0
2000,7.9699,4132.0,15.93,2000.0
2500,13.341800000000001,4132.0,16.62,2500.0
3000,19.098599999999998,4132.0,17.16,3000.0
3500,26.6919,4216.0,17.57,3500.0
4000,36.0841,5156.0,17.99,4000.0
4500,47.3458,5184.0,18.37,4500.0
5000,57.7395,5156.0,18.76,5000.0
6000,85.5641,6180.0,19.33,6000.0
7000,124.34469999999999,6232.0,19.89,7000.0
8000,160.1577,7236.0,20.26,8000.0
9000,203.8586,7204.0,20.5,9000.0
10000,256.4552,9560.0,20.8,10000.0
