K,Average User Time (s),Average Memory (KB),Passes
1,0.654,60039.2,3
2,0.564,73229.6,2
3,0.47,74539.2,1
4,0.466,74559.2,1
5,0.462,74556.0,1
6,0.46,74544.8,1
7,0.462,74523.2,1
8,0.472,74517.6,1
9,0.464,74540.0,1
10,0.464,74528.8,1
