N,Time (s),Memory (KB),Passes
10,0.0,4148.0,2.99
20,0.0,3136.0,3.01
30,0.0,4172.0,3.03
40,0.0,4192.0,3.07
50,0.0,4136.0,3.04
60,0.0,4176.0,3.1
70,0.0,4188.0,3.15
80,0.0,3136.0,3.12
90,0.0,4156.0,3.15
100,0.0,3164.0,3.09
200,0.0,3108.0,3.16
300,0.01,3144.0,3.34
400,0.01,4192.0,3.31
500,0.01,4156.0,3.34
600,0.02,4184.0,3.29
700,0.02,4188.0,3.44
800,0.03,4180.0,3.48
900,0.03,3136.0,3.38
1000,0.04,3108.0,3.47
1250,0.06,4152.0,3.51
1500,0.08,5180.0,3.59
1750,0.1,4148.0,3.66
2000,0.12,5208.0,3.59
2250,0.15,4160.0,3.63
2500,0.17,4156.0,3.66
3000,0.23,4128.0,3.58
3500,0.29,4132.0,3.67
4000,0.36,6196.0,3.68
4500,0.43,5156.0,3.76
5000,0.52,5180.0,3.77
6000,0.7,6240.0,3.84
7000,0.89,6180.0,3.77
8000,1.1,7228.0,3.87
9000,1.32,7212.0,3.8
10000,1.54,8228.0,3.77
