N,Time (s),Memory (KB),Passes
10,0.0,4188.0,1.0
20,0.0,4180.0,1.0
30,0.0,4184.0,1.0
40,0.0,4188.0,1.0
50,0.0,4188.0,1.0
60,0.0,4152.0,1.0
70,0.0,4152.0,1.0
80,0.0,3136.0,1.0
90,0.0,4144.0,1.0
100,0.0,4164.0,1.0
200,0.0,4152.0,1.0
300,0.0,4136.0,1.01
400,0.0,4172.0,1.0
500,0.01,3184.0,1.0
600,0.01,4176.0,1.01
700,0.01,3220.0,1.02
800,0.01,3160.0,1.02
900,0.01,4128.0,1.02
1000,0.02,5188.0,1.03
1250,0.02,4220.0,1.01
1500,0.03,4180.0,1.05
1750,0.04,5176.0,1.03
2000,0.05,5156.0,1.03
2250,0.06,6220.0,1.01
2500,0.07,5184.0,1.02
3000,0.1,5180.0,1.09
3500,0.12,7216.0,1.06
4000,0.15,7256.0,1.05
4500,0.19,8248.0,1.09
5000,0.22,7204.0,1.06
6000,0.29,8256.0,1.08
7000,0.38,10308.0,1.11
8000,0.47,8228.0,1.08
9000,0.56,11296.0,1.08
10000,0.69,12400.0,1.15
