K,Iteration,User Time (s),Memory (KB),Passes
5,1,6.67,45364.0,5
5,2,6.42,45536.0,5
5,3,6.12,45544.0,5
5,4,6.57,45440.0,5
5,5,6.36,45536.0,5
5,6,6.71,45460.0,5
5,7,6.68,45396.0,5
5,8,6.29,45476.0,5
5,9,6.51,45460.0,5
5,10,6.49,45456.0,5
5,11,7.4,45336.0,5
5,12,6.81,45412.0,5
5,13,27.05,45372.0,5
5,14,6.84,45396.0,5
5,15,28.45,45536.0,5
5,16,6.76,45372.0,5
5,17,25.6,45500.0,5
5,18,6.55,45428.0,5
5,19,24.49,45368.0,5
5,20,6.96,45528.0,5
5,21,26.01,45364.0,5
5,22,7.53,45536.0,5
5,23,24.72,45416.0,5
5,24,7.37,45540.0,5
5,25,26.47,45460.0,5
5,26,6.95,45416.0,5
5,27,6.78,45372.0,5
5,28,6.71,45472.0,5
5,29,24.12,45472.0,5
5,30,27.7,45460.0,5
5,31,26.57,45516.0,5
5,32,27.49,45432.0,5
5,33,23.85,45464.0,5
5,34,24.87,45476.0,5
5,35,27.11,45376.0,5
5,36,6.26,45444.0,5
5,37,26.46,45528.0,5
5,38,25.4,45536.0,5
5,39,28.35,45372.0,5
5,40,6.17,45416.0,5
5,41,26.69,45440.0,5
5,42,26.8,45468.0,5
5,43,24.87,45404.0,5
5,44,26.07,45416.0,5
5,45,21.08,45396.0,5
5,46,6.16,45316.0,5
5,47,6.28,45452.0,5
5,48,5.93,45412.0,5
5,49,6.03,45368.0,5
5,50,5.95,45496.0,5
