N,Time (s),Memory (KB),Passes
10,0.0,11988.0,1.0
20,0.0,18940.0,1.0
30,0.0,26056.0,1.0
40,0.0,32928.0,1.0
50,0.0,40072.0,1.0
60,0.0,47356.0,1.0
70,0.0,54216.0,1.0
80,0.0,61232.0,1.0
90,0.0,68196.0,1.0
100,0.0,75176.0,1.0
150,0.0,4088.0,2.0
200,0.0,4252.0,2.0
250,0.0,4304.0,2.0
300,0.0,4276.0,2.0
350,0.0,4204.0,2.0
400,0.0,4412.0,2.0
450,0.0,4464.0,2.0
500,0.01,4588.0,2.0
600,0.01,4784.0,2.0
700,0.01,4976.0,2.0
800,0.01,5048.0,2.0
900,0.01,5064.0,2.0
1000,0.01,5304.0,2.0
1200,0.02,5656.0,2.0
1400,0.02,5760.0,2.0
1600,0.03,6164.0,2.0
1800,0.03,6416.0,2.0
2000,0.04,6516.0,2.0
2500,0.05,7388.0,2.0
3000,0.07,8104.0,2.0
3500,0.08,8664.0,2.0
4000,0.11,9000.0,2.0
4500,0.14,10032.0,2.0
5000,0.14,10488.0,2.0
6000,0.17,12000.0,2.0
7000,0.03,13476.0,1.16
8000,0.28,14872.0,2.0
9000,0.33,16272.0,2.0
10000,0.38,17672.0,2.0
