N,Time (s),Memory (KB),Passes
10,0.0,3844.0,2.0
20,0.0,3852.0,2.0
30,0.0,3972.0,2.0
40,0.0,4024.0,2.0
50,0.0,4024.0,2.0
60,0.0,4024.0,2.0
70,0.0,3940.0,2.0
80,0.0,3976.0,2.0
90,0.0,3892.0,3.0
100,0.0,4172.0,3.0
150,0.0,4240.0,3.0
200,0.0,4216.0,3.0
250,0.0,4112.0,3.0
300,0.0,4448.0,3.0
350,0.0,4360.0,3.0
400,0.01,4404.0,3.0
450,0.01,4612.0,3.0
500,0.01,4648.0,3.0
600,0.01,4804.0,3.0
700,0.01,4824.0,3.0
800,0.02,5084.0,3.0
900,0.02,5176.0,3.0
1000,0.02,5312.0,3.0
1200,0.03,5692.0,3.0
1400,0.03,5940.0,3.0
1600,0.03,5968.0,3.0
1800,0.04,6440.0,3.0
2000,0.05,6724.0,3.0
2500,0.07,7328.0,3.0
3000,0.1,7980.0,3.0
3500,0.12,8684.0,3.0
4000,0.15,9340.0,3.0
4500,0.17,9900.0,3.0
5000,0.2,10352.0,3.0
6000,0.24,11624.0,3.0
7000,0.12,12928.0,2.16
8000,0.37,14496.0,3.0
9000,0.46,15940.0,3.0
10000,0.54,17184.0,3.04
