N,Time (s),Memory (KB),Passes
10,0.0,4040.0,2.0
20,0.0,3964.0,3.0
30,0.0,3960.0,3.04
40,0.0,4056.0,3.05
50,0.0,3968.0,3.08
60,0.0,3896.0,3.08
70,0.0,3996.0,3.1
80,0.0,3812.0,3.12
90,0.0,3912.0,3.13
100,0.0,3960.0,3.14
150,0.0,3916.0,3.19
200,0.0,4088.0,3.23
250,0.0,4120.0,3.27
300,0.0,4140.0,3.29
350,0.01,4164.0,3.32
400,0.01,4168.0,3.33
450,0.01,4240.0,3.34
500,0.01,4268.0,3.37
600,0.01,4204.0,3.4
700,0.02,4360.0,3.43
800,0.02,4388.0,3.46
900,0.02,4468.0,3.48
1000,0.02,4532.0,3.5
1200,0.03,4648.0,3.53
1400,0.05,4664.0,3.55
1600,0.05,4732.0,3.58
1800,0.07,4868.0,3.6
2000,0.07,4796.0,3.61
2500,0.11,5084.0,3.65
3000,0.15,5508.0,3.68
3500,0.19,5896.0,3.71
4000,0.24,6056.0,3.73
4500,0.29,6268.0,3.74
5000,0.3,6596.0,3.76
6000,0.41,6936.0,3.78
7000,0.1,7368.0,1.44
8000,0.67,7868.0,3.82
9000,0.78,8812.0,3.84
10000,1.06,8960.0,3.85
