N,Time (s),Memory (KB),Passes
10,0.0,3824.0,2.0
20,0.0,3848.0,3.0
30,0.0,3828.0,3.04
40,0.0,3984.0,3.07
50,0.0,3856.0,3.1
60,0.0,3868.0,3.12
70,0.0,3876.0,3.15
80,0.0,3876.0,3.17
90,0.0,3812.0,3.2
100,0.0,3796.0,3.22
150,0.0,3916.0,3.32
200,0.0,3940.0,3.39
250,0.0,3980.0,3.45
300,0.0,3896.0,3.51
350,0.0,3988.0,3.55
400,0.0,4060.0,3.59
450,0.0,4060.0,3.63
500,0.0,4128.0,3.65
600,0.01,4212.0,3.7
700,0.01,4196.0,3.74
800,0.01,4408.0,3.78
900,0.01,4304.0,3.8
1000,0.01,4240.0,3.84
1200,0.01,4524.0,3.87
1400,0.02,4568.0,3.89
1600,0.02,4720.0,3.92
1800,0.02,4800.0,3.94
2000,0.02,4904.0,3.95
2500,0.03,4868.0,3.98
3000,0.04,5364.0,4.0
3500,0.05,5688.0,4.01
4000,0.06,5896.0,4.02
4500,0.06,6152.0,4.02
5000,0.08,6504.0,4.03
6000,0.09,7032.0,4.04
7000,0.11,7480.0,4.05
8000,0.13,8004.0,4.06
9000,0.15,8560.0,4.07
10000,0.11,9124.0,2.86
