M,Time (s),Memory (KB),Passes
100,0.0,4152.0,2.1
200,0.0,3180.0,3.0
300,0.0,4148.0,3.0
400,0.0,4164.0,3.3
500,0.0,3164.0,3.4
600,0.0,4148.0,3.3
700,0.0,4164.0,3.3
800,0.0,3188.0,3.1
900,0.0,4144.0,3.2
1000,0.0,4160.0,3.1
2000,0.0,4192.0,3.3
3000,0.0,4184.0,3.1
4000,0.01,4172.0,3.2
5000,0.01,4180.0,3.2
6000,0.01,3196.0,3.1
7000,0.01,3172.0,3.1
8000,0.01,3160.0,3.2
9000,0.01,4164.0,3.2
10000,0.01,3132.0,3.2
11000,0.01,4144.0,3.1
12000,0.01,4160.0,3.1
13000,0.01,3172.0,3.2
14000,0.02,4188.0,3.2
15000,0.02,4152.0,3.2
16000,0.02,4192.0,3.1
17000,0.02,4144.0,3.0
18000,0.02,4152.0,3.0
19000,0.02,4180.0,3.1
20000,0.02,3132.0,3.0
30000,0.03,3124.0,3.2
40000,0.04,4132.0,3.4
50000,0.06,4156.0,3.6
60000,0.07,4164.0,3.5
70000,0.09,4136.0,3.5
80000,0.09,4184.0,3.2
90000,0.1,4152.0,3.2
100000,0.12,4184.0,3.5
200000,0.22,3152.0,3.1
300000,0.35,4180.0,3.2
400000,0.45,4160.0,3.0
