M,Time (s),Memory (KB),Passes
100,0.0,4156.0,1.0
200,0.0,4148.0,1.0
300,0.0,4192.0,1.0
400,0.0,4192.0,1.0
500,0.0,3196.0,1.0
600,0.0,4168.0,1.0
700,0.0,3144.0,1.0
800,0.0,3152.0,1.0
900,0.0,4148.0,1.0
1000,0.0,3136.0,1.0
2000,0.0,3156.0,1.0
3000,0.0,4136.0,2.0
4000,0.0,4132.0,2.0
5000,0.01,3132.0,2.0
6000,0.01,4132.0,2.0
7000,0.01,4152.0,2.1
8000,0.01,4136.0,2.0
9000,0.01,4184.0,2.1
10000,0.01,4152.0,2.1
11000,0.01,4176.0,2.0
12000,0.01,4132.0,2.0
13000,0.01,3136.0,2.1
14000,0.01,4148.0,2.1
15000,0.01,3172.0,2.0
16000,0.01,3132.0,2.1
17000,0.01,3160.0,2.1
18000,0.02,3192.0,2.1
19000,0.02,4164.0,2.0
20000,0.02,4148.0,2.1
30000,0.03,4148.0,2.2
40000,0.03,4192.0,2.2
50000,0.04,3188.0,2.3
60000,0.05,4172.0,2.1
70000,0.06,4144.0,2.2
80000,0.07,4184.0,2.1
90000,0.08,3156.0,2.1
100000,0.08,4160.0,2.1
200000,0.16,4188.0,2.0
300000,0.27,3140.0,2.0
400000,0.34,4156.0,2.0
