M,Time (s),Memory (KB),Passes
100,0.0,4180.0,1.0
200,0.0,4164.0,1.0
300,0.0,3188.0,1.0
400,0.0,4168.0,1.0
500,0.0,4188.0,1.0
600,0.0,4180.0,1.0
700,0.0,4172.0,1.0
800,0.0,3192.0,1.0
900,0.0,3156.0,1.0
1000,0.0,3172.0,1.0
2000,0.0,4152.0,1.0
3000,0.0,4172.0,1.0
4000,0.0,3140.0,1.0
5000,0.0,3136.0,1.0
6000,0.0,4208.0,1.0
7000,0.0,5180.0,1.0
8000,0.0,5212.0,1.0
9000,0.0,4240.0,1.0
10000,0.0,4188.0,1.0
11000,0.01,5188.0,2.0
12000,0.01,4160.0,2.0
13000,0.01,4216.0,2.0
14000,0.01,5176.0,2.0
15000,0.02,4144.0,2.0
16000,0.02,5184.0,2.0
17000,0.02,5176.0,2.0
18000,0.02,5212.0,2.0
19000,0.02,4188.0,2.0
20000,0.02,4216.0,2.0
30000,0.03,5180.0,2.0
40000,0.04,5168.0,2.1
50000,0.05,5216.0,2.2
60000,0.06,5208.0,2.2
70000,0.06,5176.0,2.1
80000,0.07,4164.0,2.1
90000,0.08,5204.0,2.1
100000,0.09,5188.0,2.2
200000,0.17,4168.0,2.0
300000,0.26,4140.0,2.0
400000,0.36,4176.0,2.0
