M,Time (s),Memory (KB),Passes
100,0.0,3128.0,1.0
200,0.0,3188.0,1.0
300,0.0,3176.0,1.0
400,0.0,4132.0,1.0
500,0.0,4180.0,1.0
600,0.0,4172.0,1.0
700,0.0,3144.0,1.0
800,0.0,4144.0,1.0
900,0.0,4188.0,1.0
1000,0.0,4136.0,1.0
2000,0.0,4192.0,1.0
3000,0.0,4152.0,1.0
4000,0.0,4180.0,1.0
5000,0.0,3196.0,1.0
6000,0.01,4192.0,2.0
7000,0.01,4184.0,2.0
8000,0.01,4172.0,2.0
9000,0.01,4192.0,2.0
10000,0.01,3156.0,2.0
11000,0.01,3148.0,2.0
12000,0.01,5208.0,2.0
13000,0.01,3152.0,2.0
14000,0.01,4152.0,2.0
15000,0.01,5212.0,2.0
16000,0.02,4220.0,2.1
17000,0.02,5184.0,2.0
18000,0.02,5216.0,2.0
19000,0.02,5172.0,2.0
20000,0.02,5160.0,2.1
30000,0.03,5168.0,2.0
40000,0.04,5216.0,2.2
50000,0.05,5168.0,2.3
60000,0.05,4148.0,2.1
70000,0.06,5180.0,2.2
80000,0.07,5196.0,2.1
90000,0.08,5204.0,2.1
100000,0.09,5160.0,2.1
200000,0.16,4216.0,2.0
300000,0.26,4208.0,2.0
400000,0.35,5212.0,2.0
