M,Time (s),Memory (KB),Passes
100,0.0,40228.0,1.0
500,0.0,40660.0,1.0
1000,0.0,42220.0,1.0
2500,0.0,46076.0,1.0
5000,0.0,54060.0,1.0
7500,0.0,61800.0,1.0
10000,0.0,66396.0,1.0
15000,0.01,70380.0,1.0
20000,0.01,72116.0,1.0
25000,0.01,73600.0,1.0
30000,0.01,74716.0,1.0
40000,0.01,75828.0,1.0
50000,0.01,76880.0,1.0
75000,0.05,12768.0,2.0
100000,0.05,12876.0,2.0
200000,0.1,12848.0,2.0
300000,0.13,12652.0,2.0
400000,0.18,12748.0,2.0
500000,0.24,12684.0,2.0
750000,0.37,12884.0,2.0
1000000,0.41,12688.0,2.0
2500000,1.43,12792.0,3.0
5000000,2.83,12824.0,3.0
7500000,4.3,12432.0,3.0
10000000,5.36,12896.0,3.0
25000000,13.94,12760.0,3.0
49995000,28.08,12836.0,3.0
