M,Time (s),Memory (KB),Passes
100,0.0,6796.0,2.0
500,0.0,6880.0,2.0
1000,0.0,7364.0,2.0
2500,0.0,7352.0,2.0
5000,0.01,7296.0,2.46
7500,0.02,7624.0,4.09
10000,0.03,8172.0,4.2
15000,0.04,8112.0,4.13
20000,0.05,8252.0,4.13
25000,0.06,8424.0,4.14
30000,0.06,8552.0,4.05
40000,0.08,8404.0,4.14
50000,0.09,8408.0,4.15
75000,0.13,8572.0,4.08
100000,0.15,8764.0,4.04
200000,0.27,9028.0,4.06
300000,0.37,9160.0,4.0
400000,0.46,8864.0,3.93
500000,0.54,8756.0,3.98
750000,0.81,8740.0,3.86
1000000,1.04,8952.0,3.83
2500000,2.49,9044.0,3.7
5000000,4.76,9412.0,3.34
7500000,6.33,9548.0,3.18
10000000,9.2,9492.0,3.15
25000000,20.05,9532.0,3.05
49995000,41.82,10892.0,3.01
