M,Time (s),Memory (KB),Passes
100,0.0,40348.0,1.0
500,0.0,40728.0,1.0
1000,0.0,42200.0,1.0
2500,0.0,46240.0,1.0
5000,0.0,54168.0,1.0
7500,0.0,61760.0,1.0
10000,0.0,66616.0,1.0
15000,0.0,70456.0,1.0
20000,0.01,71996.0,1.0
25000,0.04,9332.0,1.0
30000,0.05,10188.0,2.0
40000,0.06,9536.0,2.0
50000,0.07,9740.0,2.0
75000,0.09,10024.0,2.0
100000,0.11,9764.0,2.0
200000,0.17,9836.0,2.0
300000,0.22,10044.0,2.0
400000,0.27,10368.0,2.0
500000,0.36,9680.0,2.0
750000,0.44,9908.0,2.0
1000000,0.58,10204.0,2.0
2500000,1.47,9700.0,2.0
5000000,2.82,10204.0,2.0
7500000,4.03,10048.0,2.0
10000000,5.57,9880.0,2.0
25000000,12.84,9668.0,2.0
49995000,26.98,10100.0,2.0
