M,Time (s),Memory (KB),Passes
100,0.0,6880.0,2.0
500,0.0,6800.0,2.0
1000,0.0,7284.0,2.0
2500,0.0,7292.0,2.0
5000,0.01,7412.0,2.51
7500,0.02,7460.0,4.09
10000,0.03,8116.0,4.18
15000,0.04,8064.0,4.13
20000,0.05,8128.0,4.15
25000,0.06,8136.0,4.15
30000,0.06,8276.0,4.03
40000,0.09,8572.0,4.12
50000,0.09,8644.0,4.16
75000,0.13,9172.0,4.1
100000,0.15,8644.0,4.04
200000,0.26,8740.0,4.07
300000,0.34,8988.0,3.99
400000,0.47,8772.0,3.93
500000,0.56,9180.0,3.98
750000,0.88,8824.0,3.87
1000000,1.01,9308.0,3.84
2500000,2.52,8924.0,3.7
5000000,4.84,8684.0,3.36
7500000,6.28,8820.0,3.17
10000000,8.78,9240.0,3.15
25000000,20.85,9076.0,3.04
49995000,40.76,9080.0,3.01
