M,Time (s),Memory (KB),Passes
100,0.2,6764.0,2.0
500,0.17,6852.0,2.0
1000,0.18,6880.0,2.0
2500,0.16,7076.0,2.0
5000,0.1,7148.0,2.0
7500,0.05,8092.0,2.0
10000,0.04,8864.0,2.0
15000,0.02,9772.0,2.0
20000,0.02,10328.0,2.0
25000,0.02,10708.0,2.0
30000,0.02,11480.0,2.0
40000,0.05,12328.0,3.0
50000,0.05,12532.0,3.0
75000,0.06,12384.0,3.0
100000,0.07,12520.0,3.0
200000,0.12,12428.0,3.0
300000,0.26,12252.0,4.0
400000,0.32,12432.0,4.0
500000,0.46,12404.0,4.0
750000,0.65,12320.0,4.0
1000000,0.84,12340.0,4.0
2500000,2.23,12260.0,5.0
5000000,4.73,12356.0,5.02
7500000,8.33,12300.0,5.88
10000000,10.8,12332.0,6.0
25000000,27.87,12256.0,6.0
49995000,56.29,12436.0,6.08
