M,Time (s),Memory (KB),Passes
100,0.0,40124.0,1.0
500,0.0,40836.0,1.0
1000,0.0,42208.0,1.0
2500,0.0,46192.0,1.0
5000,0.0,54128.0,1.0
7500,0.0,61896.0,1.0
10000,0.0,66668.0,1.0
15000,0.01,70476.0,1.0
20000,0.01,71996.0,1.0
25000,0.01,73556.0,1.0
30000,0.01,74740.0,1.0
40000,0.01,75672.0,1.0
50000,0.01,76784.0,1.0
75000,0.02,76872.0,1.0
100000,0.03,77316.0,1.0
200000,0.14,13380.0,1.0
300000,0.19,13560.0,1.0
400000,0.21,13408.0,1.0
500000,0.23,13456.0,1.0
750000,0.34,13632.0,1.0
1000000,0.4,13432.0,1.0
2500000,0.94,13492.0,1.0
5000000,1.79,13432.0,1.0
7500000,2.53,13668.0,1.0
10000000,3.5,13704.0,1.0
25000000,8.44,13432.0,1.0
49995000,16.14,13572.0,1.0
