M,Time (s),Memory (KB),Passes
100,0.0,40308.0,1.0
500,0.0,40752.0,1.0
1000,0.0,42200.0,1.0
2500,0.0,46344.0,1.0
5000,0.0,54040.0,1.0
7500,0.0,61696.0,1.0
10000,0.0,66396.0,1.0
15000,0.01,70456.0,1.0
20000,0.01,71896.0,1.0
25000,0.02,9928.0,2.0
30000,0.05,9236.0,3.0
40000,0.05,9892.0,3.0
50000,0.05,9856.0,3.0
75000,0.06,9516.0,3.0
100000,0.08,9672.0,3.0
200000,0.14,9856.0,3.0
300000,0.27,9852.0,4.0
400000,0.32,9772.0,4.0
500000,0.48,9864.0,4.0
750000,0.62,9672.0,4.0
1000000,0.82,9076.0,4.0
2500000,1.93,9780.0,4.0
5000000,3.94,9220.0,4.0
7500000,5.83,9728.0,4.0
10000000,7.28,9804.0,4.0
25000000,21.29,9652.0,4.52
49995000,44.66,9828.0,4.74
