M,Time (s),Memory (KB),Passes
100,0.2,6852.0,2.0
500,0.17,6820.0,2.0
1000,0.18,6720.0,2.0
2500,0.15,7264.0,2.04
5000,0.11,7124.0,2.86
7500,0.08,8000.0,4.99
10000,0.07,8596.0,5.74
15000,0.07,8912.0,6.74
20000,0.07,9188.0,7.29
25000,0.08,9244.0,7.86
30000,0.08,9268.0,8.17
40000,0.1,9068.0,9.1
50000,0.12,9284.0,9.46
75000,0.2,9580.0,10.39
100000,0.24,9252.0,11.11
200000,0.53,9192.0,12.93
300000,0.85,9052.0,13.89
400000,1.07,9152.0,14.51
500000,1.45,9180.0,15.05
750000,2.27,9236.0,15.97
1000000,3.09,9276.0,16.47
2500000,8.47,9260.0,18.26
5000000,18.32,9072.0,19.29
7500000,28.4,9240.0,19.81
10000000,35.85,9108.0,20.02
25000000,95.58,9120.0,20.74
49995000,190.44,9064.0,20.87
