K,Time (s),Memory (KB),Passes
1,0.0,3660.0,1
2,0.0,3560.0,1
3,0.0,3548.0,1
4,0.0,3544.0,1
5,0.0,3580.0,1
6,0.0,3740.0,1
7,0.0,3692.0,1
8,0.0,3692.0,1
9,0.0,3684.0,1
10,0.0,3560.0,1
