K,Time (s),Memory (KB),Passes
1,0.57,3128.0,3.0
2,0.56,3108.0,3.0
3,0.56,4156.0,3.0
4,0.57,4152.0,3.0
5,0.55,4176.0,3.0
6,0.56,4172.0,3.0
7,0.57,4152.0,3.0
8,0.56,3124.0,3.0
9,0.55,4184.0,3.0
10,0.55,3180.0,3.0
12,0.55,5156.0,3.0
14,0.56,5216.0,3.0
16,0.56,4148.0,3.0
18,0.57,4180.0,3.0
20,0.56,5180.0,3.0
25,0.57,4196.0,3.0
30,0.56,4184.0,3.0
35,0.56,5200.0,3.0
40,0.57,4188.0,3.0
50,0.56,5168.0,3.0
75,0.56,6204.0,3.0
100,0.56,7224.0,3.0
250,0.56,10292.0,3.0
500,0.56,15484.0,3.0
750,0.55,17444.0,3.0
1000,0.4,18508.0,2.0
2500,0.41,19492.0,2.0
5000,0.41,18496.0,2.0
7500,0.4,18540.0,2.0
10000,0.4,18488.0,2.0
