K,Time (s),Memory (KB),Passes
1,8.46,3128.0,68.6
2,3.98,4172.0,32.6
3,2.84,3108.0,23.0
4,2.31,4188.0,18.5
5,1.99,3140.0,16.0
6,1.77,5180.0,14.0
7,1.61,4160.0,12.9
8,1.49,5212.0,12.0
9,1.34,5172.0,11.0
10,1.3,4132.0,10.4
12,1.16,5204.0,9.4
14,1.07,5212.0,8.6
16,1.0,5156.0,8.0
18,0.97,5176.0,7.7
20,0.92,5216.0,7.2
25,0.8,5236.0,6.3
30,0.78,7224.0,6.1
35,0.75,7220.0,5.8
40,0.68,7268.0,5.3
50,0.63,9276.0,4.8
75,0.5,11340.0,3.9
100,0.45,12408.0,3.4
250,0.46,26748.0,3.0
500,0.51,51296.0,2.0
750,0.51,51284.0,2.0
1000,0.51,51288.0,2.0
2500,0.51,50256.0,2.0
5000,0.51,51256.0,2.0
7500,0.51,50256.0,2.0
10000,0.51,51260.0,2.0
