K,Time (s),Memory (KB),Passes
1,5.25,3168.0,40.8
2,2.29,3108.0,16.8
3,1.79,3108.0,13.1
4,1.4,4132.0,10.7
5,1.28,5212.0,9.5
6,1.13,5180.0,8.5
7,1.07,4168.0,8.0
8,0.95,5196.0,7.2
9,0.95,4132.0,7.1
10,0.86,4132.0,6.3
12,0.8,5216.0,5.9
14,0.76,4200.0,5.4
16,0.72,5236.0,5.3
18,0.65,5184.0,4.8
20,0.61,5156.0,4.4
25,0.61,5208.0,4.3
30,0.48,6248.0,3.4
35,0.48,6208.0,3.4
40,0.47,7292.0,3.4
50,0.47,9272.0,3.3
75,0.34,10300.0,2.4
100,0.36,13368.0,2.4
250,0.35,26656.0,1.9
500,0.13,12712.0,1.0
750,0.13,12760.0,1.0
1000,0.13,12904.0,1.0
2500,0.14,12792.0,1.0
5000,0.13,12644.0,1.0
7500,0.13,12860.0,1.0
10000,0.13,12656.0,1.0
