K,Time (s),Memory (KB),Passes
1,0.44,4168.0,2.0
2,0.44,4172.0,2.0
3,0.44,3140.0,2.0
4,0.43,5204.0,2.0
5,0.43,5216.0,2.0
6,0.44,5196.0,2.0
7,0.43,5160.0,2.0
8,0.43,5176.0,2.0
9,0.43,4152.0,2.0
10,0.43,4132.0,2.0
12,0.44,4180.0,2.0
14,0.44,4212.0,2.0
16,0.43,6200.0,2.0
18,0.44,5164.0,2.0
20,0.43,5172.0,2.0
25,0.42,5192.0,1.9
30,0.41,6200.0,1.8
35,0.4,7244.0,1.8
40,0.37,7276.0,1.6
50,0.37,9288.0,1.6
75,0.37,10320.0,1.5
100,0.37,12320.0,1.4
250,0.43,26852.0,1.4
500,0.13,12952.0,1.0
750,0.12,12460.0,1.0
1000,0.13,13048.0,1.0
2500,0.13,12916.0,1.0
5000,0.13,12876.0,1.0
7500,0.13,12872.0,1.0
10000,0.13,13072.0,1.0
