K,Average User Time (s),Average Memory (KB),Passes
1,0.122,11177.6,4
2,0.12,11116.8,4
3,0.122,11129.6,4
4,0.12,11078.4,4
5,0.12,11059.2,4
6,0.154,11084.8,4
7,0.124,11062.4,4
8,0.12,11126.4,4
9,0.12,11059.2,4
10,0.12,11116.8,4
