M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.2854,6280.0,2.0,16.58
2000,0.26039999999999996,6144.0,2.0,25.86
3000,0.2403,6244.0,2.0,28.15
4000,0.226,7476.0,2.0,29.58
5000,0.2144,8088.0,2.0,30.3
6000,0.2084,7660.0,2.0,31.04
7000,0.1918,7272.0,2.0,31.94
8000,0.18719999999999998,7872.0,2.0,32.39
9000,0.1782,8408.0,2.0,33.12
10000,0.16949999999999998,8108.0,2.0,33.71
12000,0.1616,8216.0,2.0,34.8
14000,0.1522,8448.0,2.0,35.38
16000,0.1434,8608.0,2.0,35.84
18000,0.1319,8844.0,2.0,36.65
25000,0.11320000000000001,9568.0,2.0,38.71
30000,0.10529999999999999,10176.0,2.0,40.22
35000,0.09789999999999999,10620.0,2.0,41.48
40000,0.0929,11196.0,2.0,42.89
45000,0.09,11724.0,2.0,43.62
50000,0.0873,12136.0,2.0,44.44
60000,0.0867,13196.0,2.01,46.24
70000,0.086,14124.0,2.01,48.63
80000,0.1069,15080.0,2.09,50.47
90000,0.3421,15448.0,3.0,53.21
100000,0.3145,15468.0,3.0,57.06
200000,0.1973,15428.0,3.01,75.52
300000,0.3502,16492.0,4.0,98.9
400000,0.568,16980.0,5.0,122.53
500000,0.8351999999999999,15460.0,5.99,147.51
600000,1.1464,15432.0,6.99,173.04
