K,Average User Time (s),Average Memory (KB),Passes
1,0.012,10163.2,3
2,0.02,10169.6,3
3,0.018,10144.0,3
4,0.016,10144.0,3
5,0.01,10163.2,3
6,0.01,10144.0,3
7,0.01,10144.0,3
8,0.01,10144.0,3
9,0.01,10144.0,3
10,0.01,10144.0,2
