M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41112.0,1.0,0.09
2000,0.0009,45132.0,1.0,0.09
3000,0.0014000000000000002,45132.0,1.0,0.08
4000,0.0017000000000000001,47216.0,1.0,0.06
5000,0.002,48280.0,1.0,0.04
6000,0.0023,49300.0,1.0,0.04
7000,0.0028000000000000004,50308.0,1.0,0.05
8000,0.003,51300.0,1.0,0.04
9000,0.0033,52380.0,1.0,0.04
10000,0.0036,54348.0,1.0,0.04
12000,0.0042,54428.0,1.0,0.04
14000,0.0049,55356.0,1.0,0.02
16000,0.0054,56428.0,1.0,0.03
18000,0.0060999999999999995,57444.0,1.0,0.02
25000,0.008100000000000001,60520.0,1.0,0.02
30000,0.0097,62584.0,1.0,0.0
35000,0.0111,63560.0,1.0,0.06
40000,0.0123,64632.0,1.0,0.07
45000,0.0139,65696.0,1.0,0.06
50000,0.015,66664.0,1.0,0.05
60000,0.0696,10336.0,2.0,93.7
70000,0.0786,10312.0,2.0,97.94
80000,0.0882,11380.0,2.0,102.08
90000,0.0981,11328.0,2.0,106.12
100000,0.1074,11364.0,2.0,110.23
200000,0.2,11420.0,2.01,149.02
300000,0.2838,11384.0,2.01,189.61
400000,0.3586,11332.0,2.0,230.72
500000,0.4426,11364.0,2.02,273.09
600000,0.5439,11388.0,2.02,316.31
