M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41044.0,1.0,0.09
2000,0.0009,44136.0,1.0,0.09
3000,0.0012,45152.0,1.0,0.08
4000,0.0017000000000000001,47216.0,1.0,0.06
5000,0.002,48228.0,1.0,0.04
6000,0.0023,49276.0,1.0,0.04
7000,0.0025,50276.0,1.0,0.05
8000,0.0029,51360.0,1.0,0.04
9000,0.0034000000000000002,52320.0,1.0,0.04
10000,0.0034999999999999996,53364.0,1.0,0.04
12000,0.0043,54324.0,1.0,0.04
14000,0.0048,55400.0,1.0,0.02
16000,0.0054,56420.0,1.0,0.03
18000,0.0062,57468.0,1.0,0.02
25000,0.008100000000000001,60576.0,1.0,0.02
30000,0.0096,62588.0,1.0,0.0
35000,0.011399999999999999,63552.0,1.0,0.06
40000,0.0125,64564.0,1.0,0.07
45000,0.013999999999999999,65600.0,1.0,0.06
50000,0.015,66660.0,1.0,0.05
60000,0.067,10364.0,2.0,93.71
70000,0.0753,10348.0,2.0,97.95
80000,0.0863,11416.0,2.0,102.08
90000,0.0987,11404.0,2.0,106.14
100000,0.1142,11364.0,2.0,110.22
200000,0.1984,11332.0,2.01,149.01
300000,0.2811,11344.0,2.01,189.62
400000,0.3589,11316.0,2.0,230.72
500000,0.4305,11364.0,2.02,273.09
600000,0.499,10304.0,2.0,316.3
