N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,3183.08,1.0,0.0
20,0.0,3184.4,1.0,20.0
30,0.0,3182.88,1.0,30.0
40,0.0,3179.52,1.0,40.0
50,0.0,3182.32,1.0,50.0
60,0.0,3181.68,1.0,60.0
70,0.0,3181.24,1.0,70.0
80,0.0,3180.48,1.0,80.0
90,0.0,3183.12,1.0,90.0
100,0.0,3182.8,1.0,100.0
200,0.0002,3186.32,1.0,200.0
300,0.010100000000000007,3181.2,1.01,300.0
400,0.029899999999999954,3186.36,1.0,400.0
500,0.045799999999999966,3177.48,1.0,500.0
600,0.07020000000000008,3180.76,1.01,600.0
700,0.09269999999999991,3180.92,1.02,700.0
800,0.1260999999999999,3184.8,1.02,800.0
900,0.19850000000000004,3179.2,1.02,900.0
1000,0.20339999999999964,3212.52,1.03,1000.0
1200,0.29980000000000023,3547.96,1.01,1200.0
1400,0.4194999999999993,4171.36,1.04,1400.0
1600,0.5458999999999999,4203.76,1.03,1600.0
1800,0.6942,4207.92,1.01,1800.0
2000,0.8810000000000001,4210.84,1.03,2000.0
2500,1.3694999999999993,4498.6,1.02,2500.0
3000,2.1049999999999995,5172.96,1.09,3000.0
3500,2.8812,5298.32,1.06,3500.0
4000,3.8460000000000014,5630.28,1.05,4000.0
4500,4.992000000000003,6051.2,1.09,4500.0
5000,6.063199999999999,6378.08,1.06,5000.0
6000,9.092099999999999,7099.64,1.08,6000.0
7000,12.798299999999994,7827.04,1.11,7000.0
8000,17.39049999999998,8540.52,1.08,8000.0
9000,21.623299999999993,9752.08,1.08,9000.0
10000,28.5123,10501.64,1.15,10000.0
