K,Time (s),Memory (KB),Passes
1,5.94,3072.0,40.54
2,1.98,3072.0,13.74
3,1.03,3072.0,6.98
4,0.83,3072.0,5.53
5,0.73,3072.0,4.96
6,0.69,4096.0,4.56
7,0.57,4096.0,4.0
8,0.56,4096.0,4.0
9,0.57,4096.0,3.99
10,0.56,4096.0,3.98
11,0.56,4096.0,3.95
12,0.56,4096.0,3.92
13,0.54,4096.0,3.82
14,0.54,4096.0,3.77
15,0.52,5120.0,3.65
16,0.48,5120.0,3.39
17,0.47,5120.0,3.35
18,0.45,5120.0,3.25
19,0.45,5120.0,3.1
20,0.44,5120.0,3.04
21,0.43,5120.0,3.01
22,0.43,5120.0,3.0
23,0.44,5120.0,3.0
24,0.43,5120.0,3.0
25,0.44,5120.0,3.0
26,0.44,6144.0,3.0
27,0.43,6144.0,3.0
28,0.43,6144.0,3.0
29,0.44,6144.0,3.0
30,0.43,6144.0,3.0
31,0.44,6144.0,3.0
32,0.44,6144.0,3.0
33,0.45,6144.0,3.0
34,0.47,6144.0,3.0
35,0.46,6144.0,3.0
36,0.46,6144.0,3.0
37,0.46,7168.0,3.0
38,0.44,7168.0,3.0
39,0.44,7168.0,3.0
40,0.44,7168.0,3.0
45,0.45,7168.0,3.0
50,0.46,8192.0,3.0
55,0.44,8192.0,3.0
60,0.46,9216.0,3.0
65,0.47,9216.0,3.0
70,0.46,10240.0,3.0
75,0.51,10240.0,3.0
80,0.5,10240.0,3.0
85,0.45,11264.0,3.0
90,0.52,11264.0,3.0
95,0.53,12288.0,3.0
100,0.45,12288.0,3.0
150,0.5,17408.0,2.99
200,0.5,21504.0,2.9
250,0.48,26624.0,2.71
300,0.55,31744.0,2.58
350,0.52,35840.0,2.39
400,0.55,40960.0,2.24
450,0.66,45056.0,2.13
500,0.69,50176.0,2.0
550,0.68,50176.0,2.0
600,0.68,50176.0,2.0
650,0.68,50436.0,2.0
700,0.68,50660.0,2.0
750,0.69,50176.0,2.0
800,0.68,50176.0,2.0
850,0.69,50176.0,2.0
900,0.73,51200.0,2.0
950,0.77,50176.0,2.0
1000,0.74,50176.0,2.0
