K,Time (s),Memory (KB),Passes
1,2.26,3072.0,14.93
2,0.61,3072.0,4.0
3,0.44,3072.0,3.0
4,0.45,3072.0,3.0
5,0.44,4096.0,2.97
6,0.42,4096.0,2.77
7,0.31,4096.0,2.19
8,0.29,4096.0,2.01
9,0.28,4096.0,2.0
10,0.3,4096.0,2.0
11,0.3,4096.0,2.0
12,0.31,4096.0,2.0
13,0.28,4096.0,2.0
14,0.28,4096.0,2.0
15,0.29,5120.0,2.0
16,0.3,5120.0,2.0
17,0.29,5120.0,2.0
18,0.29,5120.0,2.0
19,0.3,5120.0,2.0
20,0.29,5120.0,2.0
21,0.29,5120.0,2.0
22,0.28,5120.0,2.0
23,0.29,5120.0,2.0
24,0.3,5120.0,2.0
25,0.3,5120.0,2.0
26,0.3,6144.0,2.0
27,0.31,6144.0,2.0
28,0.3,6144.0,2.0
29,0.29,6144.0,2.0
30,0.3,6144.0,2.0
31,0.3,6144.0,2.0
32,0.29,6144.0,2.0
33,0.29,6144.0,2.0
34,0.31,6144.0,2.0
35,0.3,6144.0,2.0
36,0.3,6144.0,2.0
37,0.3,7168.0,2.0
38,0.31,7168.0,2.0
39,0.3,7168.0,2.0
40,0.29,7168.0,2.0
45,0.3,7168.0,2.0
50,0.3,8192.0,2.0
55,0.31,8192.0,2.0
60,0.3,9216.0,2.0
65,0.31,9216.0,2.0
70,0.33,10240.0,2.0
75,0.35,10240.0,2.0
80,0.36,10240.0,2.0
85,0.32,11264.0,2.0
90,0.34,11264.0,2.0
95,0.37,12288.0,2.0
100,0.38,12288.0,2.0
150,0.31,17408.0,1.95
200,0.34,21504.0,1.84
250,0.36,26624.0,1.72
300,0.4,31744.0,1.54
350,0.44,35840.0,1.38
400,0.49,40960.0,1.25
450,0.52,45056.0,1.11
500,0.14,19096.0,1.0
550,0.15,19012.0,1.0
600,0.15,20100.0,1.0
650,0.14,19168.0,1.0
700,0.16,19312.0,1.0
750,0.15,19316.0,1.0
800,0.14,19124.0,1.0
850,0.14,19140.0,1.0
900,0.16,19748.0,1.0
950,0.14,19312.0,1.0
1000,0.15,18952.0,1.0
