K,Average User Time (s),Average Memory (KB),Passes
1,9.838,10604.8,221
2,1.696,12220.0,35
3,1.01,14076.0,19
4,0.66,15628.0,12
5,0.526,17526.4,9
6,0.272,19359.2,4
7,0.396,21239.2,6
8,0.186,23548.0,3
9,0.204,25312.0,3
10,0.188,26740.0,2
