K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,4.724279999999997,6778.316,125.314,9159.913
2,0.4552200000000002,8264.744,11.872,9159.266
3,0.15964999999999877,9296.284,4.0,9298.514
4,0.16835999999999843,10326.136,4.0,9330.598
5,0.12435000000000064,11346.04,3.0,9349.957
6,0.1276400000000001,12368.596,3.0,9334.294
7,0.1296899999999997,13385.112,3.0,9321.101
8,0.13427999999999893,14413.712,3.0,9315.336
9,0.1403699999999993,15431.24,3.0,9311.1
10,0.1427599999999998,15470.764,3.0,9316.419
12,0.15120000000000003,17513.992,3.0,9341.092
14,0.16208000000000083,19557.772,3.0,9397.231
16,0.11661000000000017,19562.92,2.0,9406.737
18,0.11386999999999951,19563.276,2.0,9406.737
20,0.11714999999999966,19563.716,2.0,9406.737
25,0.11564999999999988,19565.648,2.0,9406.737
30,0.11627999999999997,19565.488,2.0,9406.737
35,0.11484999999999941,19563.2,2.0,9406.737
40,0.12070000000000002,19563.308,2.0,9406.737
45,0.11983999999999977,19563.332,2.0,9406.737
50,0.12624000000000013,19565.148,2.0,9406.737
60,0.11298999999999977,19565.12,2.0,9406.737
70,0.11481999999999974,19568.94,2.0,9406.737
80,0.11292999999999995,19568.448,2.0,9406.737
90,0.11316999999999942,19567.172,2.0,9406.737
100,0.11367999999999946,19565.784,2.0,9406.737
150,0.11260999999999952,19560.86,2.0,9406.737
200,0.1124699999999997,19566.292,2.0,9406.737
250,0.11392999999999946,19565.52,2.0,9406.737
300,0.11482999999999988,19563.752,2.0,9406.737
400,0.11511999999999986,19561.46,2.0,9406.737
500,0.11297999999999953,19567.296,2.0,9406.737
750,0.1123699999999994,19565.96,2.0,9406.737
1000,0.11456999999999973,19565.104,2.0,9406.737
1500,0.11549999999999996,19565.312,2.0,9406.737
2000,0.11436999999999978,19566.208,2.0,9406.737
2500,0.11537999999999962,19562.624,2.0,9406.737
3000,0.11275999999999961,19567.7,2.0,9406.737
4000,0.11801999999999993,19562.908,2.0,9406.737
5000,0.11495999999999987,19561.864,2.0,9406.737
7500,0.11357999999999946,19563.248,2.0,9406.737
10000,0.11608999999999979,19565.988,2.0,9406.737
