K,Time (s),Memory (KB),AvgPasses,AvgHeight
1,4.6310199999999915,6323.084,125.071,9160.826
2,0.44411000000000017,8298.028,11.864,9160.283
3,0.15979999999999825,9179.164,4.0,9258.152
4,0.12042000000000125,10357.452,3.0,9279.614
5,0.08173999999999916,11378.752,2.0,9364.834
6,0.08195999999999908,12401.456,2.0,9344.686
7,0.08363999999999996,13423.48,2.0,9326.132
8,0.08851000000000135,14446.032,2.0,9312.856
9,0.09146000000000146,15470.276,2.0,9303.944
10,0.09368000000000096,15477.296,2.0,9300.73
12,0.10296999999999903,17524.624,2.0,9313.108
14,0.036809999999999704,7279.472,1.0,0.0
16,0.036719999999999704,7279.536,1.0,0.0
18,0.03668999999999975,7281.356,1.0,0.0
20,0.03675999999999975,7278.924,1.0,0.0
25,0.036769999999999727,7283.076,1.0,0.0
30,0.03629999999999978,7283.636,1.0,0.0
35,0.03696999999999971,7278.82,1.0,0.0
40,0.037059999999999704,7282.544,1.0,0.0
45,0.037259999999999634,7279.444,1.0,0.0
50,0.0369499999999997,7280.824,1.0,0.0
60,0.03688999999999968,7277.644,1.0,0.0
70,0.03756999999999963,7267.772,1.0,0.0
80,0.03667999999999976,7273.392,1.0,0.0
90,0.03664999999999969,7278.296,1.0,0.0
100,0.036419999999999786,7273.844,1.0,0.0
150,0.037199999999999664,7279.964,1.0,0.0
200,0.03636999999999976,7285.908,1.0,0.0
250,0.03690999999999973,7282.708,1.0,0.0
300,0.03685999999999976,7275.864,1.0,0.0
400,0.03697999999999971,7279.396,1.0,0.0
500,0.036679999999999734,7278.584,1.0,0.0
750,0.03717999999999968,7282.496,1.0,0.0
1000,0.03687999999999975,7282.672,1.0,0.0
1500,0.03736999999999963,7281.56,1.0,0.0
2000,0.036919999999999724,7275.812,1.0,0.0
2500,0.03750999999999962,7281.496,1.0,0.0
3000,0.03747999999999964,7284.308,1.0,0.0
4000,0.03793999999999959,7280.136,1.0,0.0
5000,0.0377299999999996,7278.684,1.0,0.0
7500,0.03796999999999958,7277.976,1.0,0.0
10000,0.03748999999999968,7279.356,1.0,0.0
