M,Time (s),Memory (KB),Passes
1000,0.3,7168.0,2.0
2000,0.24,7168.0,2.0
3000,0.24,7168.0,2.0
4000,0.21,6144.0,2.0
5000,0.17,6144.0,2.0
6000,0.13,7168.0,2.0
7000,0.1,7168.0,2.0
8000,0.08,8608.0,2.0
9000,0.07,8192.0,2.0
10000,0.06,8412.0,2.0
12500,0.04,9028.0,2.0
15000,0.03,9256.0,2.0
17500,0.03,9548.0,2.0
20000,0.03,10012.0,2.0
22500,0.03,10240.0,2.0
25000,0.03,10400.0,2.0
30000,0.03,11092.0,2.0
40000,0.08,11264.0,3.0
50000,0.07,12288.0,3.0
60000,0.07,12288.0,3.0
70000,0.08,11264.0,3.0
80000,0.08,11264.0,3.0
90000,0.09,12288.0,3.0
100000,0.09,11264.0,3.0
200000,0.17,12288.0,3.0
300000,0.32,12288.0,4.0
400000,0.42,12288.0,4.0
500000,0.51,11264.0,4.0
600000,0.63,12288.0,4.0
700000,0.73,12288.0,4.0
800000,0.82,12288.0,4.0
900000,0.92,11264.0,4.0
1000000,1.03,12288.0,4.0
2000000,2.51,12288.0,5.0
4000000,5.01,12288.0,5.0
6000000,7.89,11264.0,5.34
8000000,11.84,12288.0,5.94
10000000,14.75,11264.0,6.0
15000000,21.85,12288.0,6.0
20000000,29.76,12288.0,6.0
25000000,37.08,11264.0,6.0
30000000,45.66,11264.0,6.03
35000000,52.84,11264.0,6.08
40000000,60.85,12288.0,6.15
49995000,76.9,11264.0,6.2
