N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,2e-05,4208.0,1.0,1.0
20,0.00017999999999999998,4136.0,1.792,20.0
30,0.00044,4164.0,1.971,30.0
40,0.0005,4180.0,1.992,40.0
50,0.00115,4160.0,2.0,50.0
60,0.00166,4176.0,2.016,60.0
70,0.00233,4168.0,2.057,70.0
80,0.003,4152.0,2.147,80.0
90,0.00391,4132.0,2.223,90.0
100,0.00521,4188.0,2.382,100.0
200,0.02597,3108.0,2.936,200.0
300,0.03908,4188.0,2.997,300.0
400,0.10116,4188.0,3.011,400.0
500,0.12259,4152.0,3.081,500.0
600,0.25331,4136.0,3.204,600.0
700,0.36363999999999996,3104.0,3.377,700.0
800,0.48075,3108.0,3.524,800.0
900,0.53879,3144.0,3.633,900.0
1000,0.6837300000000001,4144.0,3.747,1000.0
1200,1.2116300000000002,4144.0,3.847,1200.0
1400,1.7046199999999998,4132.0,3.944,1400.0
1600,2.40835,4156.0,3.965,1600.0
1800,2.88296,5168.0,3.983,1800.0
2000,3.40486,4132.0,3.994,2000.0
2500,4.5861,5152.0,4.007,2500.0
3000,6.9331700000000005,5156.0,4.031,3000.0
3500,11.02524,6180.0,4.089,3500.0
