N,Time (s),Memory (KB),AvgPasses,AvgHeight
10,0.0,4144.0,2.12,10.0
20,0.0001,4140.0,2.81,20.0
30,0.0003,4176.0,2.96,30.0
40,0.0006,4144.0,3.0,40.0
50,0.0009,4172.0,3.02,50.0
60,0.0013,4152.0,3.04,60.0
70,0.0019,3152.0,3.13,70.0
80,0.0026,4144.0,3.27,80.0
90,0.0034000000000000002,3136.0,3.41,90.0
100,0.0044,4180.0,3.5,100.0
200,0.0196,3152.0,3.93,200.0
300,0.0446,3172.0,4.02,300.0
400,0.08130000000000001,3132.0,4.17,400.0
500,0.1422,3108.0,4.44,500.0
600,0.2115,4144.0,4.66,600.0
700,0.2838,3196.0,4.77,700.0
800,0.37689999999999996,3168.0,4.87,800.0
900,0.4874,3108.0,4.93,900.0
1000,0.6035,4152.0,4.96,1000.0
1200,0.8989,5164.0,5.01,1200.0
1400,1.2548000000000001,4132.0,5.02,1400.0
1600,1.6273,4160.0,5.03,1600.0
1800,2.077,4140.0,5.07,1800.0
2000,2.5886,4156.0,5.13,2000.0
2500,4.2636,5232.0,5.42,2500.0
3000,6.3502,5192.0,5.65,3000.0
3500,8.8132,6268.0,5.78,3500.0
4000,11.681600000000001,6180.0,5.89,4000.0
4500,15.2883,7284.0,5.91,4500.0
5000,18.1923,7236.0,5.94,5000.0
6000,26.628400000000003,10224.0,5.99,6000.0
7000,36.3404,10276.0,5.99,7000.0
