M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0005,41000.0,1.0,0.15
2000,0.0011,45132.0,1.0,0.18
3000,0.0016,46180.0,1.0,0.44
4000,0.002,50216.0,1.0,0.34
5000,0.0025,54356.0,1.0,0.44
6000,0.0031,57392.0,1.0,0.39
7000,0.0036,60476.0,1.0,0.32
8000,0.0042,63572.0,1.0,0.22
9000,0.0045000000000000005,64544.0,1.0,0.23
10000,0.005,66608.0,1.0,0.22
12000,0.005600000000000001,67704.0,1.0,0.14
14000,0.0067,69724.0,1.0,0.15
16000,0.0074,69748.0,1.0,0.05
18000,0.008199999999999999,70720.0,1.0,0.03
25000,0.0102,73796.0,1.0,23.89
30000,0.0118,72768.0,1.0,46.85
35000,0.013500000000000002,74832.0,1.0,131.07
40000,0.014499999999999999,75828.0,1.0,481.53
45000,0.0159,75836.0,1.0,1074.67
50000,0.0175,75864.0,1.0,1462.3
60000,0.020099999999999996,75824.0,1.0,1702.8
70000,0.0229,75920.0,1.0,1582.69
80000,0.025699999999999997,75856.0,1.0,1482.84
90000,0.027999999999999997,75848.0,1.0,1386.25
100000,0.0308,75852.0,1.0,1303.25
200000,0.3246,8284.0,3.06,9429.15
300000,0.4531,8224.0,3.05,9624.03
400000,0.5782,8256.0,2.99,9719.79
500000,0.7015,7204.0,2.99,9777.14
600000,0.8090999999999999,9268.0,2.92,9816.09
700000,0.9259999999999999,8228.0,2.89,9844.6
800000,1.0592,8228.0,2.92,9864.61
900000,1.1861,7204.0,2.91,9880.36
1000000,1.3003,8228.0,2.86,9892.39
2000000,2.3709000000000002,7284.0,2.63,9949.82
4000000,4.558,7204.0,2.5,9977.47
6000000,6.591799999999999,9268.0,2.38,9986.61
8000000,8.5651,8224.0,2.19,9990.75
10000000,10.4171,8248.0,2.14,9993.05
15000000,15.476400000000002,8224.0,2.08,9996.4
20000000,20.3387,8224.0,2.07,9997.89
25000000,25.531,8268.0,2.05,9998.72
