M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0039700000000000004,6180.0,2.0,4.969
2000,0.0076500000000000005,7204.0,2.0,7.451
3000,0.008960000000000001,6260.0,2.001,11.003
4000,0.00754,6260.0,2.039,18.082
5000,0.01425,6196.0,2.488,44.969
6000,0.016730000000000002,7236.0,3.81,290.515
7000,0.02452,7232.0,4.084,737.633
8000,0.03619,7204.0,4.101,1237.11
9000,0.05857,8268.0,4.134,1726.0
10000,0.06991,8232.0,4.139,2189.65
12000,0.08828,8284.0,4.144,3007.83
14000,0.10175,7284.0,4.146,3695.02
16000,0.11816,9272.0,4.148,4268.51
18000,0.13127,8256.0,4.151,4751.36
25000,0.16185,8312.0,4.123,5956.08
30000,0.13271,9272.0,4.142,6535.37
35000,0.20883000000000002,8228.0,4.133,6969.28
40000,0.20184,8308.0,4.093,7308.83
45000,0.21681,8240.0,4.099,7581.22
50000,0.19531,8228.0,4.105,7801.99
60000,0.26932999999999996,8240.0,4.098,8145.3
70000,0.23671,8228.0,4.087,8394.22
80000,0.28772000000000003,8228.0,4.104,8586.99
90000,0.32553,8228.0,4.09,8739.16
100000,0.33175,8276.0,4.077,8861.96
200000,0.5522,8228.0,4.037,9426.5
300000,0.85519,8256.0,4.017,9620.96
