K,Iteration,User Time (s),Memory (KB),Passes
7,1,0.41,125732.0,1
7,2,0.49,125656.0,1
7,3,0.67,125760.0,1
7,4,0.43,125660.0,1
7,5,0.66,125712.0,1
7,6,0.4,125636.0,1
7,7,0.66,125720.0,1
7,8,0.44,125736.0,1
7,9,0.4,125660.0,1
7,10,0.66,125776.0,1
7,11,0.41,125776.0,1
7,12,0.69,125732.0,1
7,13,0.45,125728.0,1
7,14,0.66,125708.0,1
7,15,0.4,125812.0,1
7,16,0.63,125632.0,1
7,17,0.43,125804.0,1
7,18,0.62,125716.0,1
7,19,0.38,125724.0,1
7,20,0.66,125628.0,1
7,21,0.44,125676.0,1
7,22,0.65,125804.0,1
7,23,0.43,125700.0,1
7,24,0.65,125640.0,1
7,25,0.36,125740.0,1
7,26,0.65,125788.0,1
7,27,0.67,125676.0,1
7,28,0.66,125640.0,1
7,29,0.45,125796.0,1
7,30,0.66,125732.0,1
7,31,0.68,125664.0,1
7,32,0.68,125780.0,1
7,33,0.69,125628.0,1
7,34,0.68,125728.0,1
7,35,0.68,125676.0,1
7,36,0.66,125808.0,1
7,37,0.67,125660.0,1
7,38,0.64,125628.0,1
7,39,0.66,125792.0,1
7,40,0.43,125808.0,1
7,41,0.66,125704.0,1
7,42,0.48,125708.0,1
7,43,0.66,125796.0,1
7,44,0.46,125776.0,1
7,45,0.66,125788.0,1
7,46,0.48,125816.0,1
7,47,0.65,125804.0,1
7,48,0.44,125728.0,1
7,49,0.64,125740.0,1
7,50,0.67,125808.0,1
