M,Time (s),Memory (KB),AvgPasses,AvgHeight
1000,0.0006,41120.0,1.0,0.09
2000,0.0009,44152.0,1.0,0.09
3000,0.0013,45164.0,1.0,0.08
4000,0.0017000000000000001,47212.0,1.0,0.06
5000,0.002,48288.0,1.0,0.04
6000,0.0023,49308.0,1.0,0.04
7000,0.0025,50232.0,1.0,0.05
8000,0.0029,51352.0,1.0,0.04
9000,0.0033,52336.0,1.0,0.04
10000,0.0036,53340.0,1.0,0.04
12000,0.0044,54384.0,1.0,0.04
14000,0.0048,55352.0,1.0,0.02
16000,0.0054,56404.0,1.0,0.03
18000,0.0060999999999999995,57444.0,1.0,0.02
25000,0.2022,8692.0,2.01,43.86
30000,0.1913,8752.0,2.11,45.35
35000,0.247,8308.0,2.63,46.82
40000,0.29350000000000004,8320.0,3.0,48.73
45000,0.2873,8304.0,3.0,51.22
50000,0.2704,8292.0,3.0,53.39
60000,0.2284,8292.0,3.0,56.25
70000,0.2126,8292.0,3.11,58.44
80000,0.2685,8264.0,3.51,60.27
90000,0.3367,8308.0,3.89,62.45
100000,0.3389,8292.0,3.99,65.71
200000,0.503,8292.0,5.98,91.55
300000,0.8465,8252.0,8.47,118.93
400000,1.317,8244.0,11.18,148.16
500000,1.9534,8324.0,13.96,177.61
600000,2.7861000000000002,8296.0,16.89,207.38
