K,Average User Time (s),Average Memory (KB),Passes
1,382.9867,47760.0,853
2,18.57,53125.3333,22
3,11.9967,62396.0,9
4,8.72,72261.3333,6
5,8.4633,82129.3333,5
6,6.8,91902.6667,4
7,9.2033,101740.0,4
8,5.0933,113760.0,3
9,6.3567,121592.0,3
10,8.32,132990.6667,3
