N,Time (s),Memory (KB),Passes
10,0.0,3124.0,1.0
20,0.0,4164.0,1.0
30,0.0,3136.0,1.0
40,0.0,4156.0,1.0
50,0.0,4188.0,1.0
60,0.0,3176.0,1.0
70,0.0,4152.0,1.0
80,0.0,4156.0,1.0
90,0.0,3132.0,1.0
100,0.0,3132.0,1.0
200,0.0,4136.0,2.0
300,0.0,3192.0,2.0
400,0.0,4172.0,2.0
500,0.01,3172.0,2.0
600,0.01,5216.0,2.0
700,0.01,5180.0,2.0
800,0.01,5212.0,2.0
900,0.02,4168.0,2.0
1000,0.02,5176.0,2.0
1250,0.03,4168.0,2.0
1500,0.03,5180.0,2.0
1750,0.04,5196.0,2.0
2000,0.05,6200.0,2.0
2250,0.06,7224.0,2.0
2500,0.07,6180.0,2.0
3000,0.09,8248.0,2.0
3500,0.11,7224.0,2.0
4000,0.14,8272.0,2.0
4500,0.16,9272.0,2.0
5000,0.19,9268.0,2.0
6000,0.25,11300.0,2.0
7000,0.3,12360.0,2.0
8000,0.42,13432.0,2.22
9000,0.63,15532.0,2.8
10000,0.76,17276.0,3.0
